user_id,recipe1,relatedRecipes1,recipe2,relatedRecipes2,recipe3,relatedRecipes3,recipe4,relatedRecipes4,recipe5,relatedRecipes5
8688,lou s fabulous bruschetta,"['party bruschetta', 'pesto hots', 'easy spicy parmesan toasts']",cabbage and sausage soup,"['italian gravy w  chicken and sausage', 'broccoli rabe with sun dried tomatoes', 'lentils with sun dried tomatoes and feta']",black coffee barbecue sauce,"['coffee bbq  grilling sauce', 'soy sauce substitute with very low sodium', 'barbecued ribs']",braised brussels sprouts with vinegar and dill,"['roasted brussels sprouts with dill', 'basic garlic butter brussels sprouts', 'caramelized brussels sprouts']",brown rice and vegetable pilaf,"['cream of fresh green bean soup', 'one pot veggie pasta', 'herbed rice puffs']"
1179225,black coffee barbecue sauce,"['coffee bbq  grilling sauce', 'soy sauce substitute with very low sodium', 'barbecued ribs']",cola fruit and date loaf,"['chocolate coca cola cake with chocolate coca cola icing', 'que que  chilean coffee cake', 'very best banana loaf']",classic cream scones,"['classic tea time cream scones', 'scones', 'easy no chill sugar cookies']",chicken giblets or livers,"['portuguese potatoes', 'african piri   piri kabobs', 'roast pork with piri piri']",lemon curried lamb chops,"['lemon mint lamb chops', 'parmesan chops', 'lemon and oregano lamb chops']"
486725,my chicken parmigiana,"['20 minute chicken parmesan', 'skillet chicken parmigiana', 'chicken parmesan express']",creamy cajun chicken pasta,"['red lobster cajun chicken pasta', 'grady s grilled chicken pasta', 'lime chicken linguine w cilantro cream sauce   roasted zucch']",strawberries with sour cream and brown sugar,"['special strawberry dessert', 'strawberry cheese dip', 'strawberries and cream milkshakes']",asiago cream sauce,"['italiano alfredo sauce', 'old fashioned potato soup', 'cream of chicken soup   when you don t have canned   substitute']",peel and eat shrimp with spicy cocktail sauce,"['perfect boiled shrimp and cocktail sauce', 'killer shrimp', 'linguine with shrimp scampi   barefoot contessa ina garten']"
197023,lou s fabulous bruschetta,"['party bruschetta', 'pesto hots', 'easy spicy parmesan toasts']",black bean  corn  and tomato salad,"['broiled zucchini with herbs', 'pinto bean  fresh corn and tomato salad', 'garlic and thyme green beans']",cabbage and sausage soup,"['italian gravy w  chicken and sausage', 'broccoli rabe with sun dried tomatoes', 'lentils with sun dried tomatoes and feta']",black coffee barbecue sauce,"['coffee bbq  grilling sauce', 'soy sauce substitute with very low sodium', 'barbecued ribs']",braised brussels sprouts with vinegar and dill,"['roasted brussels sprouts with dill', 'basic garlic butter brussels sprouts', 'caramelized brussels sprouts']"
173579,lou s fabulous bruschetta,"['party bruschetta', 'pesto hots', 'easy spicy parmesan toasts']",cabbage and sausage soup,"['italian gravy w  chicken and sausage', 'broccoli rabe with sun dried tomatoes', 'lentils with sun dried tomatoes and feta']",black coffee barbecue sauce,"['coffee bbq  grilling sauce', 'soy sauce substitute with very low sodium', 'barbecued ribs']",blueberry buttertarts,"['warm blueberry cobbler', 'cranberry pecan tarts', 'dad s butter tarts']",cherry sandwich maker snack,"['camping pies', 'cherry squares', 'buttery cherry drop cake']"
104295,appetizers easy stuffed mushrooms,"['mushrooms for steak', 'easy sauted mushrooms', 'fried mushrooms in sour cream  paistetut sienet']",chilies corn muffins,"['cornmeal blender waffles', 'corn bread', 'cornbread']",crab bisque chincoteague,"['jeanettes dump', 'crab   cream cheese delight', 'volcano potatoes   too retro']",country fried yellow squash,"['sherby s southern fried squash patties', 'the black eyed pea s baked squash', 'baked squash casserole from black eyed pea']",greek stuffed meatloaf,"['tirokafteri  spicy cheese spread', 'moussaka  aunt dana style', 'little cheddar meatloaves']"
47892,blueberry buttertarts,"['warm blueberry cobbler', 'cranberry pecan tarts', 'dad s butter tarts']",all purpose crock pot chicken,"['louisiana chicken and sausage gumbo the real stuff', 'chelle s famous turkey meatballs', 'lemon marinated chicken breasts']",chinese plum sauce,"['plum preserves', 'damson plum jam', 'plum good pie by southern living']",christmas snow punch,"['fresh lime', 'the party punch', 'wet panther']",homemade butter,"['butter', 'rich caramel sauce', 'white fudge  opera fudge']"
67656,braised brussels sprouts with vinegar and dill,"['roasted brussels sprouts with dill', 'basic garlic butter brussels sprouts', 'caramelized brussels sprouts']",chicken and pineapple salad with curry mayonnaise,"['pineapple coconut juice', 'the ultimate coconut scones', 'pineapple   coconut muffins']",chicken fried steak with cracked pepper gravy,"['baked southern fried round steak', 'round steak in beer', 'marlboro country chicken fried steak  country fried']",crab bisque chincoteague,"['jeanettes dump', 'crab   cream cheese delight', 'volcano potatoes   too retro']",homemade butter,"['butter', 'rich caramel sauce', 'white fudge  opera fudge']"
53932,black coffee barbecue sauce,"['coffee bbq  grilling sauce', 'soy sauce substitute with very low sodium', 'barbecued ribs']",brown bag apple salad,"['summer fruit bowl', 'fruity carrots', 'roasted grapes for cheese platter']",chicken and pineapple salad with curry mayonnaise,"['pineapple coconut juice', 'the ultimate coconut scones', 'pineapple   coconut muffins']",cola fruit and date loaf,"['chocolate coca cola cake with chocolate coca cola icing', 'que que  chilean coffee cake', 'very best banana loaf']",classic cream scones,"['classic tea time cream scones', 'scones', 'easy no chill sugar cookies']"
542159,lou s fabulous bruschetta,"['party bruschetta', 'pesto hots', 'easy spicy parmesan toasts']",black coffee barbecue sauce,"['coffee bbq  grilling sauce', 'soy sauce substitute with very low sodium', 'barbecued ribs']",christmas snow punch,"['fresh lime', 'the party punch', 'wet panther']",crab bisque chincoteague,"['jeanettes dump', 'crab   cream cheese delight', 'volcano potatoes   too retro']",lemon curried lamb chops,"['lemon mint lamb chops', 'parmesan chops', 'lemon and oregano lamb chops']"
679953,black bean  corn  and tomato salad,"['broiled zucchini with herbs', 'pinto bean  fresh corn and tomato salad', 'garlic and thyme green beans']",cabbage and sausage soup,"['italian gravy w  chicken and sausage', 'broccoli rabe with sun dried tomatoes', 'lentils with sun dried tomatoes and feta']",black coffee barbecue sauce,"['coffee bbq  grilling sauce', 'soy sauce substitute with very low sodium', 'barbecued ribs']",brown bag apple salad,"['summer fruit bowl', 'fruity carrots', 'roasted grapes for cheese platter']",blue stuffed mushrooms,"['restaurant style bleu cheese dressing', 'blue cheese pasta', 'fresh cream of mushroom soup']"
204024,lou s fabulous bruschetta,"['party bruschetta', 'pesto hots', 'easy spicy parmesan toasts']",cabbage and sausage soup,"['italian gravy w  chicken and sausage', 'broccoli rabe with sun dried tomatoes', 'lentils with sun dried tomatoes and feta']",black coffee barbecue sauce,"['coffee bbq  grilling sauce', 'soy sauce substitute with very low sodium', 'barbecued ribs']",brown rice and vegetable pilaf,"['cream of fresh green bean soup', 'one pot veggie pasta', 'herbed rice puffs']",brown bag apple salad,"['summer fruit bowl', 'fruity carrots', 'roasted grapes for cheese platter']"
422893,oatmeal chocolate chip cookies ii,"['barbara bush s oatmeal chip cookies', 'peanut butter oatmeal chocolate chip cookies', 'chewy chocolate chip oatmeal cookies']",dry rub for barbecued ribs,"['should be illegal oven bbq ribs', 'alton brown s baby back ribs', 'twice cooked baby back ribs']",fresh green beans with garlic,"['green beans with toasted hazelnuts', 'toasted hazelnuts', 'garlicky green beans with mushrooms']",poverty meal,"['mom s noodle bake', 'mama s dinner in a dash', 'quick tomato and beef macaroni and cheese']",fudge crinkles  a great 4 ingredient cake mix cookie,"['devil s chocolate cookie crinkles', 'chocolate cookies', 'soft  n chewy chocolate sandwich cookies']"
400708,lou s fabulous bruschetta,"['party bruschetta', 'pesto hots', 'easy spicy parmesan toasts']",black coffee barbecue sauce,"['coffee bbq  grilling sauce', 'soy sauce substitute with very low sodium', 'barbecued ribs']",chicken breasts saltimbocca,"['stuffed chicken rollups', 'crock pot stuffed chicken rolls', 'chicken broccoli cordon bleu casserole']",chicken and pineapple salad with curry mayonnaise,"['pineapple coconut juice', 'the ultimate coconut scones', 'pineapple   coconut muffins']",chilies corn muffins,"['cornmeal blender waffles', 'corn bread', 'cornbread']"
158086,lou s fabulous bruschetta,"['party bruschetta', 'pesto hots', 'easy spicy parmesan toasts']",cabbage and sausage soup,"['italian gravy w  chicken and sausage', 'broccoli rabe with sun dried tomatoes', 'lentils with sun dried tomatoes and feta']",black coffee barbecue sauce,"['coffee bbq  grilling sauce', 'soy sauce substitute with very low sodium', 'barbecued ribs']",brown bag apple salad,"['summer fruit bowl', 'fruity carrots', 'roasted grapes for cheese platter']",blue stuffed mushrooms,"['restaurant style bleu cheese dressing', 'blue cheese pasta', 'fresh cream of mushroom soup']"
136997,black coffee barbecue sauce,"['coffee bbq  grilling sauce', 'soy sauce substitute with very low sodium', 'barbecued ribs']",lemon curried lamb chops,"['lemon mint lamb chops', 'parmesan chops', 'lemon and oregano lamb chops']",stuffed acorn squash,"['baked acorn squash   brown sugar', 'acorn squash microwave baked', 'acorn squash a la kree']",moussaka,"['eggplant   aubergine  sauce for pasta', 'eggplant  aubergine  moussaka', 'beef and potato moussaka']",german potato cheese soup,"['ukrainian borscht', 'gracie potatoes', 'the dove s nest texas chowder']"
169969,lou s fabulous bruschetta,"['party bruschetta', 'pesto hots', 'easy spicy parmesan toasts']",black bean  corn  and tomato salad,"['broiled zucchini with herbs', 'pinto bean  fresh corn and tomato salad', 'garlic and thyme green beans']",cabbage and sausage soup,"['italian gravy w  chicken and sausage', 'broccoli rabe with sun dried tomatoes', 'lentils with sun dried tomatoes and feta']",black coffee barbecue sauce,"['coffee bbq  grilling sauce', 'soy sauce substitute with very low sodium', 'barbecued ribs']",braised brussels sprouts with vinegar and dill,"['roasted brussels sprouts with dill', 'basic garlic butter brussels sprouts', 'caramelized brussels sprouts']"
17803,chicken and pineapple salad with curry mayonnaise,"['pineapple coconut juice', 'the ultimate coconut scones', 'pineapple   coconut muffins']",coca cola cake,"['coca cola brownies', 'cracker barrel double fudge coca cola cake', 'coca a cola cake']",crock pot chocolate zucchini nut bread,"['hershey s disappearing cake', 'black midnight cake', 'perfect chocolate brownies']",amber and zach s kisses,"['meringue that will not bead or create wateriness', 'no weep  no shrink meringue', 'betty s easy meringue cookies  2 ingredients']",rote grtze,"['pie filling from frozen sweet cherries', 'strawberry pudding', 'raspberry cake filling']"
209747,lou s fabulous bruschetta,"['party bruschetta', 'pesto hots', 'easy spicy parmesan toasts']",black coffee barbecue sauce,"['coffee bbq  grilling sauce', 'soy sauce substitute with very low sodium', 'barbecued ribs']",almond fudge banana cake,"['skinny pineapple cake', 'marbled chocolate banana bread  vegan', 'holiday baked ham']",chicken fried steak with cracked pepper gravy,"['baked southern fried round steak', 'round steak in beer', 'marlboro country chicken fried steak  country fried']",classic cream scones,"['classic tea time cream scones', 'scones', 'easy no chill sugar cookies']"
101823,zucchini lasagna  lasagne    low carb,"['easy zucchini lasagna', 'lasagna with zucchini noodles', 'all purpose quick spaghetti sauce']",puppy chow snack mix,"['muddy buddies i', 'puppy chow candy', 'butterscotch puppy chow']",dynamite oatmeal chocolate chip raisin cookies,"['yummy oatmeal butterscotch cookies', 'cindy mccain s oatmeal butterscotch cookies', 'simply sensational chocolate chip cookies']",mrs  field s oatmeal cookies,"['neiman marcus  250 chocolate chip cookies recipe', 'authentic mrs  fields chocolate chip cookies', 'special restaurant chocolate chip cookies']",oatmeal chocolate chip cookies ii,"['barbara bush s oatmeal chip cookies', 'peanut butter oatmeal chocolate chip cookies', 'chewy chocolate chip oatmeal cookies']"
160974,black bean  corn  and tomato salad,"['broiled zucchini with herbs', 'pinto bean  fresh corn and tomato salad', 'garlic and thyme green beans']",cabbage and sausage soup,"['italian gravy w  chicken and sausage', 'broccoli rabe with sun dried tomatoes', 'lentils with sun dried tomatoes and feta']",black coffee barbecue sauce,"['coffee bbq  grilling sauce', 'soy sauce substitute with very low sodium', 'barbecued ribs']",brown bag apple salad,"['summer fruit bowl', 'fruity carrots', 'roasted grapes for cheese platter']",blueberry buttertarts,"['warm blueberry cobbler', 'cranberry pecan tarts', 'dad s butter tarts']"
560491,lou s fabulous bruschetta,"['party bruschetta', 'pesto hots', 'easy spicy parmesan toasts']",christmas snow punch,"['fresh lime', 'the party punch', 'wet panther']",moussaka,"['eggplant   aubergine  sauce for pasta', 'eggplant  aubergine  moussaka', 'beef and potato moussaka']",alaskan blueberry pie,"['best ever lemon meringue pie', 'lemon buttermilk pie', 'blueberry lemon jam  no pectin recipe']",elly may s wedding punch,"['icy holiday punch', 'golden punch', 'sparkling pineapple lemonade']"
145352,black coffee barbecue sauce,"['coffee bbq  grilling sauce', 'soy sauce substitute with very low sodium', 'barbecued ribs']",braised brussels sprouts with vinegar and dill,"['roasted brussels sprouts with dill', 'basic garlic butter brussels sprouts', 'caramelized brussels sprouts']",brown rice and vegetable pilaf,"['cream of fresh green bean soup', 'one pot veggie pasta', 'herbed rice puffs']",chicken breasts saltimbocca,"['stuffed chicken rollups', 'crock pot stuffed chicken rolls', 'chicken broccoli cordon bleu casserole']",chicken and pineapple salad with curry mayonnaise,"['pineapple coconut juice', 'the ultimate coconut scones', 'pineapple   coconut muffins']"
452940,braised brussels sprouts with vinegar and dill,"['roasted brussels sprouts with dill', 'basic garlic butter brussels sprouts', 'caramelized brussels sprouts']",lee s hot crab dip,"['chinese buffet crab casserole', 'crab rangoon appetizer', 'bleu cheese crab dip   oamc']",lemon whipped cream,"['marcella hazan s  pasta al limone', 'lemon drenched lemon cake', 'easy lemon cream dessert']",harvard beets  sweet sour red beets,"['harvard beets', 'harvard beets iii', 'harvard beets for the freezer  or right away']",grandma s apple muffins,"['dutch apple bread', 'caramel apple oven pancake', 'gammas heirloom apple cake']"
324390,lou s fabulous bruschetta,"['party bruschetta', 'pesto hots', 'easy spicy parmesan toasts']",cabbage and sausage soup,"['italian gravy w  chicken and sausage', 'broccoli rabe with sun dried tomatoes', 'lentils with sun dried tomatoes and feta']",black coffee barbecue sauce,"['coffee bbq  grilling sauce', 'soy sauce substitute with very low sodium', 'barbecued ribs']",braised brussels sprouts with vinegar and dill,"['roasted brussels sprouts with dill', 'basic garlic butter brussels sprouts', 'caramelized brussels sprouts']",brown rice and vegetable pilaf,"['cream of fresh green bean soup', 'one pot veggie pasta', 'herbed rice puffs']"
9869,lou s fabulous bruschetta,"['party bruschetta', 'pesto hots', 'easy spicy parmesan toasts']",black bean  corn  and tomato salad,"['broiled zucchini with herbs', 'pinto bean  fresh corn and tomato salad', 'garlic and thyme green beans']",cabbage and sausage soup,"['italian gravy w  chicken and sausage', 'broccoli rabe with sun dried tomatoes', 'lentils with sun dried tomatoes and feta']",black coffee barbecue sauce,"['coffee bbq  grilling sauce', 'soy sauce substitute with very low sodium', 'barbecued ribs']",braised brussels sprouts with vinegar and dill,"['roasted brussels sprouts with dill', 'basic garlic butter brussels sprouts', 'caramelized brussels sprouts']"
29196,reese s peanut butter cups,"['no bake peanut butter bars', 'incredibles', 'reese s cup candy']",dark chocolate cake,"['ora s deep dark chocolate cake', 'high altitude chocolate cake', 'deep dark chocolate cupcakes']",lemon sherbet punch,"['potent punch', 'perfect punch', 'day old bathwater punch']",low fat thai steak salad,"['beef lok lak  cambodian recipe', 'easy thai beef salad', 'beef tips and rice']",strawberry pretzel jell o,"['pretzel jello jell o salad dessert', 'pretzel jello salad', 'strawberry jello pretzel salad']"
